Author,Editor,Title,Journal,Publication Date,Electronic Date,PubMedID,PMC ID,Branch
Katki HA,,Testing stored control-arm specimens could dramatically increase statistical power yet reduce costs in cancer screening trials.,J Natl Cancer Inst,2024 Dec 19,2024 Dec 19,39699223,,TDRP/BB
"Masiuk S, Chepurny M, Buderatska V, Ivanova O, Boiko Z, Zhadan N, Chornovol H, Bolgov M, Shpak V, Tronko M, Cahoon EK, Chanock SJ, Bogdanova T, Morton LM, Drozdovitch V",,Thyroid doses for the Chornobyl Tissue Bank: improved estimates based on revised methodology and individual residence and diet history.,Radiat Environ Biophys,2024 Dec 19,2024 Dec 19,39699684,,"OD, OD/LGS, TDRP/REB"
"Zhang Y, Lindström S, Kraft P, Liu Y",,Response to zhang and Lv.,J Natl Cancer Inst,2024 Dec 19,2024 Dec 19,39703032,,TDRP
"Alsaggaf R, Pfeiffer RM, Pearce EE, Greene MH, Lochmuller H, Gadalla SM",,Mortality Trends and Causes of Death in Myotonic Dystrophy Type 1 Patients From the UK Clinical Practice Research Datalink.,Muscle Nerve,2024 Dec 16,2024 Dec 16,39679826,,"TDRP/BB, TDRP/CGB"
"Pearce EE, Majid A, Brown T, Shepherd RF, Rising C, Wilsnack C, Thompson AS, Gilkey MB, Ribisl KM, Lazard AJ, Han PK, Werner-Lin A, Hutson SP, Savage SA",,"""Crying in the Wilderness""-The Use of Web-Based Support in Telomere Biology Disorders: Thematic Analysis.",JMIR Form Res,2024 Dec 16,2024 Dec 16,39680438,PMC11686027,"OD, TDRP, TDRP/CGB"
"Schultz KAP, Nelson AT, Mallinger PHR, Harris AK, Kamihara J, Baldinger S, Chen KS, Pond D, Hatton JN, Dybvik AG, Mitchell SG, Perrino MR, Ben-Ami T, Kachanov D, Su Y, Duan C, Olson DR, Watson D, Field AL, Harney LA, Garrity Carr A, Frazier AL, Schneider DT, Wilson DB, MacFarland SP, Schoettler PJ, Bauer AJ, Dehner LP, Hill DA, Stewart DR, Messinger YH",,DICER1-Related Tumor Predisposition: Identification of At-risk Individuals and Recommended Surveillance Strategies.,Clin Cancer Res,2024 Dec 16,,39400264,PMC11649450,TDRP/CGB
"Soroush A, Dawsey SM",,Persistent Lugol-Unstained Lesions: A New Predictor of Progression to Esophageal Squamous Cell Carcinoma?,Clin Gastroenterol Hepatol,2024 Dec 16,2024 Dec 16,39694201,,TDRP/MEB
"Akbari H, Bakas S, Sako C, Fathi Kazerooni A, Villanueva-Meyer J, Garcia JA, Mamourian E, Liu F, Cao Q, Shinohara RT, Baid U, Getka A, Pati S, Singh A, Calabrese E, Chang S, Rudie J, Sotiras A, LaMontagne P, Marcus DS, Milchenko M, Nazeri A, Balana C, Capellades J, Puig J, Badve C, Barnholtz-Sloan JS, Sloan AE, Vadmal V, Waite K, Ak M, Colen RR, Park YW, Ahn SS, Chang JH, Choi YS, Lee SK, Alexander GS, Ali AS, Dicker AP, Flanders AE, Liem S, Lombardo J, Shi W, Shukla G, Griffith B, Poisson LM, Rogers LR, Kotrotsou A, Booth TC, Jain R, Lee M, Mahajan A, Chakravarti A, Palmer JD, DiCostanzo D, Fathallah-Shaykh H, Cepeda S, Santonocito OS, Di Stefano AL, Wiestler B, Melhem ER, Woodworth GF, Tiwari P, Valdes P, Matsumoto Y, Otani Y, Imoto R, Aboian M, Koizumi S, Kurozumi K, Kawakatsu T, Alexander K, Satgunaseelan L, Rulseh AM, Bagley SJ, Bilello M, Binder ZA, Brem S, Desai AS, Lustig RA, Maloney E, Prior T, Amankulor N, Nasrallah MLP, O'Rourke DM, Mohan S, Davatzikos C, ReSPOND consortium",,Machine Learning-based Prognostic Subgrouping of Glioblastoma: A Multi-center Study.,Neuro Oncol,2024 Dec 12,2024 Dec 12,39665363,,"OD/CGR, TDRP"
"Robinson E, Rodriguez I, Argueta V, Xie Y, Lou H, Milano R, Lee HJ, Burdett L, Mishra SK, Yeager M, Mirabello L, Dean M, Orozco R",,Analysis of the progression of cervical cancer in a low-and-middle-income country: From pre-malignancy to invasive disease.,Tumour Virus Res,2024 Dec 12,2024 Dec 12,39672307,PMC11729683,"OD/CGR, TDRP/CGB, TDRP/LTG"
"Hendrix EL, Chollette VY, Wentzensen N, Loukissas JK, McGee-Avila JK, Tookmanian E, Temkin SM, Douthard RA, Rossy M, Donald C, Kobrin SC, Segebrecht JW",,"Federal Cervical Cancer Collaborative: Improving cervical cancer prevention through vaccination, screening, and management in safety-net settings of care.",Cancer,2025 Jan 1,2024 Dec 11,39660744,,"OD, TDRP, TDRP/CGB, TDRP/IIB"
"McGrath CB, Shreves AH, Shanahan MR, Guard HE, Nhliziyo MV, Pernar CH, Penney KL, Lotan TL, Fiorentino M, Mucci LA, Stopsack KH",,Etiology of prostate cancer with the TMPRSS2:ERG fusion: A systematic review of risk factors.,Int J Cancer,2024 Dec 11,2024 Dec 11,39663641,,TDRP/MEB
"Shing JZ, Giuliano AR, Brenner NL, Michels B, Hildesheim A, Srivastava S, Sirak BA, Schussler J, Liu D, Wang W, Waterboer T, Kreimer AR",,Natural history of HPV16-E6 serology among cancer-free men in a multicenter longitudinal cohort study.,J Natl Cancer Inst,2024 Dec 10,2024 Dec 10,39658222,,"TDRP/BB, TDRP/IIB"
"Barkana BD, Ahmad B, Essodegui F, Lembarki G, Pfeiffer R, Soliman AS, Roubidoux MA",,Characterization of mammographic markers of inflammatory breast cancer (IBC).,Phys Med,2025 Jan,2024 Dec 9,39657329,PMC11717612,TDRP/BB
"Kava CM, Chaturvedi AK, Senkomago V, Mix JM, Markowitz LE, Kreimer AR, Unger ER, Saraiya M",,The role of HPV16 in oral cavity and laryngeal cancers in the United States.,J Natl Cancer Inst,2024 Dec 9,2024 Dec 9,39657945,,"OD, TDRP/CGB, TDRP/IIB"
GBD 2021 US Burden of Disease and Forecasting Collaborators,,"Burden of disease scenarios by state in the USA, 2022-50: a forecasting analysis for the Global Burden of Disease Study 2021.",Lancet,2024 Dec 7,,39645377,,"TDRP/BB, TDRP/OEEB"
"Clarke MA, Befano B, Wentzensen N, Cheung LC, Egemen D, Castle PE, Schiffman M, Goldhoff PE, Seo TS, Suh-Burgmann EJ, Poitras N, Fuller LA, Wi S, Lorey T, Shah NR",,Associations of Obesity with Post-Treatment Risks of Cervical Precancer and Cancer.,Am J Obstet Gynecol,2024 Dec 6,2024 Dec 6,39647654,,"TDRP, TDRP/BB, TDRP/CGB"
"Valcarcel B, Savage KJ, Link BK, Leonard JP, Kelly KM, Thanarajasingam G, Cerhan JR, Pro B, Gordon LI, Thompson CA, Smith SM, Morton LM",,Comparison of Survivorship Care Guidelines for Patients With Lymphoma: Recommendations for Harmonization and Future Research Agenda.,JCO Oncol Pract,2024 Dec 6,2024 Dec 6,39642333,,TDRP/REB
"Goddard KAB, Feuer EJ, Mandelblatt JS, Meza R, Holford TR, Jeon J, Lansdorp-Vogelaar I, Gulati R, Stout NK, Howlader N, Knudsen AB, Miller D, Caswell-Jin JL, Schechter CB, Etzioni R, Trentham-Dietz A, Kurian AW, Plevritis SK, Hampton JM, Stein S, Sun LP, Umar A, Castle PE",,"Estimation of Cancer Deaths Averted From Prevention, Screening, and Treatment Efforts, 1975-2020.",JAMA Oncol,2024 Dec 5,2024 Dec 5,39636625,PMC11622066,TDRP/CGB
"Gutierrez-Rodrigues F, Groarke EM, Thongon N, Rodriguez-Sevilla JJ, Catto LFB, Niewisch MR, Shalhoub R, McReynolds LJ, Clé DV, Patel BA, Ma X, Hironaka D, Donaires FS, Spitofsky N, Santana BA, Lai TP, Alemu L, Kajigaya S, Darden I, Zhou W, Browne PV, Paul S, Lack J, Young DJ, DiNardo CD, Aviv A, Ma F, De Oliveira MM, de Azambuja AP, Dunbar CE, Olszewska M, Olivier E, Papapetrou EP, Giri N, Alter BP, Bonfim C, Wu CO, Garcia-Manero G, Savage SA, Young NS, Colla S, Calado RT",,Clonal landscape and clinical outcomes of telomere biology disorders: somatic rescue and cancer mutations.,Blood,2024 Dec 5,,39316766,,"OD, OD/CGR, TDRP/CGB"
"Pal T, Schon KR, Astiazaran-Symonds E, Balmaña J, Foulkes WD, James P, Klugman S, Livinski AA, Mak JS, Ngeow J, Voian N, Wick MJ, Hanson H, Stewart DR, Tischkowitz M, ACMG Professional Practice and Guidelines Committee. Electronic address: documents@acmg.net",,Management of individuals with heterozygous germline pathogenic variants in ATM: A clinical practice resource of the American College of Medical Genetics and Genomics (ACMG).,Genet Med,2025 Jan,2024 Dec 5,39636577,,TDRP/CGB
"Carey KM, Young CD, Clark AJ, Dammer EB, Singh R, Lillard JW Jr",,Subtype-specific analysis of gene co-expression networks and immune cell profiling reveals high grade serous ovarian cancer subtype linkage to variable immune microenvironment.,J Ovarian Res,2024 Dec 3,2024 Dec 3,39627836,PMC11613732,TDRP/ITEB
"Liu A, Genovese G, Zhao Y, Pirinen M, Zekavat SM, Kentistou KA, Yang Z, Yu K, Vlasschaert C, Liu X, Brown DW, Hudjashov G, Gorman BR, Dennis J, Zhou W, Momozawa Y, Pyarajan S, Tuzov V, Pajuste FD, Aavikko M, Sipilä TP, Ghazal A, Huang WY, Freedman ND, Song L, Gardner EJ, FinnGen, Estonian Biobank Research Team, Breast Cancer Association Consortium, Million Veteran Program, Sankaran VG, Palotie A, Ollila HM, Tukiainen T, Chanock SJ, Mägi R, Natarajan P, Daly MJ, Bick A, McCarroll SA, Terao C, Loh PR, Ganna A, Perry JRB, Machiela MJ",,Author Correction: Genetic drivers and cellular selection of female mosaic X chromosome loss.,Nature,2024 Dec 3,2024 Dec 3,39627447,,"OD, OD/CGR, OD/LGS, TDRP, TDRP/BB, TDRP/ITEB, TDRP/MEB, TDRP/REB"
"Hazelwood E, Lopez Manzano C, Vincent EE, Albanes D, Bishop DT, Le Marchand L, Ulrich CM, Peters U, Murphy G, Samadder NJ, Anderson L, Gunter MJ, Murphy N, Van Guelpen B, Papadimitriou N",,"Plasma Ghrelin and Risks of Sex-Specific, Site-Specific, and Early-Onset Colorectal Cancer: A Mendelian Randomization Analysis.",Cancer Epidemiol Biomarkers Prev,2024 Dec 2,,39361354,PMC11609820,TDRP/MEB
"Niewisch MR, Kim J, Giri N, Lunger JC, McReynolds LJ, Savage SA",,Genotype and Associated Cancer Risk in Individuals With Telomere Biology Disorders.,JAMA Netw Open,2024 Dec 2,2024 Dec 2,39661387,PMC11635530,"OD, TDRP/CGB"
"Parks CG, Leyzarovich D, Hamra GB, Costenbader KH, Chen D, Hofmann JN, Freeman LEB, Sandler DP",,Associations between pesticide use and rheumatoid arthritis among older farmers in the Agricultural Health Study.,Sci Rep,2024 Dec 2,2024 Dec 2,39622868,PMC11611918,TDRP/OEEB
"Riquelme A, Abnet CC",,The Burden of Gastric Cancer in Northern Central America.,Cancer Epidemiol Biomarkers Prev,2024 Dec 2,,39618252,,"OD, TDRP/MEB"
"Wojcik KM, Wilson OWA, Shiels MS, Sheppard VB, Jayasekera J",,"Racial, Ethnic, and Socioeconomic Disparities in Meeting Physical Activity Guidelines among Female Breast Cancer Survivors in the United States.",Cancer Epidemiol Biomarkers Prev,2024 Dec 2,,39269270,PMC11609821,TDRP/IIB
"Colbeth H, Ferguson J, Picciotto S, Koutros S, Silverman D, Eisen E",,Worker exit and suicide and overdose mortality in a cohort of male non-metal mine workers,SSM-Ment Health,2024 Dec,,,,TDRP/OEEB
"Ivanova OM, Chepurny MI, Masiuk SV, Vasylenko VV, Kuriata MS, Buderatska VB, Boiko ZN, Bilonyk AB, Fedosenko GV, Morozov VV, Gorbachov SG, Zhadan NS, Tereshchenko SO, Hubina IG, Drozdovitch VV",,Methodology of Reconstruction of Internal Doses from 137Cs and 134Cs of Residents of Radioactively Contaminated Settlements in Ukraine Not Covered by WBC Monitoring.,Probl Radiac Med Radiobiol,2024 Dec,,39724614,,TDRP/REB
"Kvarnung M, Pettersson M, Rafati M, Mcreynolds L, Norberg A, Pesonen I, Chaireti R, Groenros B, Burlin J, Ryden J, Lindberg E, Neelam G, Savage S, Agarwal S, Nordgren A, Tesi B",,A novel autosomal recessive telomere biology disorder caused by biallelic variants in POLA2,Eur J Hum Genet,2024 Dec,,,,"OD, TDRP/CGB"
"Landy R, Katki HA, Huang WY, Wang D, Thomas M, Qu F, Freedman ND, Loftfield E, Shi J, Peters U, Hsu L, Schoen RE, Berndt SI",,Evaluating the Use of Environmental and Polygenic Risk Scores to Inform Colorectal Cancer Risk-Based Surveillance Intervals.,Clin Transl Gastroenterol,2024 Dec 1,2024 Dec 1,39733276,PMC11671055,"OD/CGR, TDRP/BB, TDRP/CGB, TDRP/MEB, TDRP/OEEB"
"Moon S, Han H, Choi C, Shin B, Son G, Kim H, Kim S, Kim J, Yoon I, Lee K, Kim C",,Towards accurate dose assessment for emergency industrial radiography source retrieval operations: A preliminary study of 4D Monte Carlo dose calculations,Nucl Eng Technol,2024 Dec,,,,TDRP/REB
"Pearce E, Majid A, Brown T, Wilsnack C, Rising C, Thompson A, Shepherd R, Niknafs A, Werner-Lin A, Gilkey M, Ribisl K, Hutson S, Han P, Savage S",,"A ""rotating menu"" of medical uncertainty for families affected by telomere biology disorders: A qualitative interview study",SSM-Qual Res Health,2024 Dec,,,,"OD, TDRP, TDRP/CGB"
"Vo JB, Roger VL",,Cardiovascular Disease and Breast Cancer: Exploring 2 Interconnected Landscapes.,JACC CardioOncol,2024 Dec,2024 Dec 17,39801635,PMC11711825,TDRP/REB
"Kvarnung M, Pettersson M, Chun-On P, Rafati M, McReynolds LJ, Norberg A, Moura PL, Pesonen I, Chaireti R, Grönros Söderholm B, Burlin J, Rydén J, Lindberg EH, Giri N, Savage SA, Agarwal S, Nordgren A, Tesi B",,Identification of biallelic POLA2 variants in two families with an autosomal recessive telomere biology disorder.,Eur J Hum Genet,2024 Nov 30,2024 Nov 30,39616267,,"OD, TDRP/CGB"
"Sassano M, Nalini M, Seyyedsalehi MS, Roshandel G, Poustchi H, Khoshnia M, Kamangar F, Dawsey SM, Abnet C, Malekzadeh R, Boffetta P, Etemadi A",,Body size and occupational physical activity during the life course and gastrointestinal cancers.,Am J Epidemiol,2024 Nov 29,2024 Nov 29,39673323,,"OD, TDRP/MEB"
"Bakhshimoghaddam F, Baez D, Dolatkhah N, Sheikh M, Poustchi H, Hekmatdoost A, Dawsey S, Kamangar F, Abnet C, Malekzadeh R, Etemadi A, Hashemian M",,Which dietary patterns fend off nonalcoholic fatty liver disease? A systematic review of observational and interventional studies.,BMC Nutr,2024 Nov 28,2024 Nov 28,39609906,PMC11606097,"OD, TDRP/MEB"
"Dorali P, Damgacioglu H, Clarke MA, Wentzensen N, Orr BC, Sonawane K, Deshmukh AA",,"Cervical Cancer Mortality Among US Women Younger Than 25 Years, 1992-2021.",JAMA,2024 Nov 27,2024 Nov 27,39602175,,"TDRP, TDRP/CGB"
"Kong XW, Bu GL, Chen H, Huang YH, Liu Z, Kang YF, Li YC, Yu X, Wu BH, Li ZQ, Chen XC, Xie SH, Lin DF, Li T, Yan SM, Han RK, Huang N, Wang QY, Li Y, Zhang A, Zhong Q, Huang XM, Ye W, Ji MF, Cai YL, Cao SM, Zeng MS",,A large-scale population-based study reveals that gp42-IgG antibody is protective against Epstein-Barr virus-associated nasopharyngeal carcinoma.,J Clin Invest,2024 Nov 26,2024 Nov 26,39589824,,"OD/CGR, TDRP/BB, TDRP/IIB"
"Kresovich JK, Guranich C, Houghton S, Qian J, Jones ME, Boutot ME, Dowsett M, Eliassen AH, Garcia-Closas M, Kraft P, Norman A, Pollak M, Rinaldi S, Rosner B, Schoemaker MJ, Scott C, Swerdlow AJ, Milne RL, Tworoger SS, Vachon CM, Hankinson SE",,Plasma prolactin and postmenopausal breast cancer risk: a pooled analysis of four prospective cohort studies.,Breast Cancer Res,2024 Nov 26,2024 Nov 26,39593118,PMC11590566,TDRP
"Xing S, Correa-Alfonso CM, Shin J, Pursley J, Depauw N, Domal S, Withrow J, Bolch W, Grassberger C, Paganetti H",,Evaluating the impact of liver vasculature model complexity for estimating dose to circulating blood during radiotherapy.,Int J Radiat Oncol Biol Phys,2024 Nov 26,2024 Nov 26,39608610,,TDRP/REB
Cheung L,,Probability Modeling and Statistical Inference in Cancer Screening,J Am Stat Assoc,2024 Nov 25,,,,TDRP/BB
"Li S, Madanat-Harjuoja L, Leslie G, Barnes DR, Bolla MK, Dennis J, Parsons MT, Apostolou P, Arnold N, Bosse K, On Behalf Of Embrace Collaborators ACA, Cook J, Engel C, Evans DG, Fostira F, Frone MN, Gehrig A, Greene MH, Hackmann K, Hahnen E, Harbeck N, Hauke J, Hentschel J, Horvath J, Izatt L, Kiechle M, Konstantopoulou I, Lalloo F, Yie JNY, Niederacher D, Ritter J, Santamariña M, Schmutzler RK, Searle C, Sutter C, Tischkowitz M, Tripathi V, Vega A, Wallaschek H, Wang-Gohrke S, Wappenschmidt B, Weber BHF, Yannoukakos D, Zhao E, Easton DF, Antoniou AC, Chenevix-Trench G, Rebbeck TR, Diller LR",,"Childhood, adolescent and young adulthood cancer risk in BRCA1 or BRCA2 pathogenic variant carriers.",J Natl Cancer Inst,2024 Nov 25,2024 Nov 25,39585318,,TDRP/CGB
"Piñeros M, Vignat J, Colombet M, Laversanne M, Ferreccio C, Heise K, Mhatre S, Koshiol J, Bray F",,Global variations in gallbladder cancer incidence: What do recorded data and national estimates tell us?,Int J Cancer,2024 Nov 24,2024 Nov 24,39580808,,TDRP/IIB
"Blechter B, Hsiung CA, Wang X, Zhang H, Seow WJ, Shi J, Chatterjee N, Kim HN, Wong MP, Hong YC, Wong JY, Dai J, Hosgood HD, Wang Z, Chang IS, Choi J, Wang J, Song M, Hu W, Zheng W, Kim JH, Zhou B, Albanes D, Shin MH, Chung LP, An SJ, Zheng H, Yatabe Y, Zhang XC, Kim YT, Shu XO, Kim YC, Vermeulen RCH, Bassig BA, Chang J, Man Ho JC, Ji BT, Kubo M, Daigo Y, Momozawa Y, Kamatani Y, Honda T, Kunitoh H, Watanabe SI, Miyagi Y, Nakayama H, Matsumoto S, Tsuboi M, Goto K, Yin Z, Takahashi A, Goto A, Minamiya Y, Shimizu K, Tanaka K, Wu T, Wei F, Su J, Kim YH, Oh IJ, Fun Lee VH, Su WC, Chen YM, Chang GC, Chen KY, Huang MS, Lin HC, Seow A, Park JY, Kweon SS, Chen CJ, Gao YT, Wu C, Qian B, Lu D, Liu J, Jeon HS, Hsiao CF, Sung JS, Tsai YH, Jung YJ, Guo H, Hu Z, Chen TY, Burdett L, Yeager M, Hutchinson A, Berndt SI, Wu W, Wang J, Choi JE, Park KH, Sung SW, Liu L, Kang CH, Chen CH, Xu J, Guan P, Tan W, Wang CL, Loon Sihoe AD, Chen Y, Choi YY, Kim JS, Yoon HI, Cai Q, Park IK, Xu P, He Q, Chen CY, Wu J, Lim WY, Chen KC, Chan JKC, Li J, Chen H, Yu CJ, Jin L, Fraumeni JF Jr, Liu J, Landi MT, Yamaji T, Yang Y, Hicks B, Wyatt K, Li SA, Ma H, Song B, Wang Z, Cheng S, Li X, Ren Y, Iwasaki M, Zhu J, Jiang G, Fei K, Wu G, Chien LH, Tsai FY, Yu J, Stevens VL, Yang PC, Lin D, Chen K, Wu YL, Matsuo K, Rothman N, Shiraishi K, Shen H, Chanock SJ, Kohno T, Lan Q",,Polygenic risk score and lung adenocarcinoma risk among never-smokers by EGFR mutation status-a brief report.,J Thorac Oncol,2024 Nov 22,2024 Nov 22,39581378,,"OD, OD/CGR, OD/LGS, TDRP, TDRP/BB, TDRP/ITEB, TDRP/LTG, TDRP/MEB, TDRP/OEEB"
"Gutiérrez-Torres DS, Reyes-Guzman C, Mayer M, Prutzman YM, Freedman ND",,Quit Attempts and Use of Cessation Aids Among U.S. Adults Who Smoke Nondaily.,Am J Prev Med,2025 Mar,2024 Nov 20,39571835,PMC11830521,"TDRP/ITEB, TDRP/MEB"
"Pellegrini S, Potjer TP, Del Bianco P, Vecchiato A, Fabozzi A, Piccin L, Tonello D, van der Stoep N, Tinsley E, Landi MT, Iles MM, Menin C",,Polygenic Risk Score Improves Melanoma Risk Assessment in a Patient Cohort from the Veneto Region of Italy.,Biology (Basel),2024 Nov 20,2024 Nov 20,39596909,PMC11592222,"TDRP, TDRP/ITEB"
"Hawwash NK, Sperrin M, Martin GP, Sinha R, Matthews CE, Ricceri F, Tjønneland A, Heath AK, Neuhouser ML, Joshu CE, Platz EA, Freisling H, Gunter MJ, Renehan AG",,Excess weight by degree and duration and cancer risk (ABACus2 consortium): a cohort study and individual participant data meta-analysis.,EClinicalMedicine,2024 Dec,2024 Nov 19,39640936,PMC11617392,TDRP/MEB
"Long E, Yin J, Shin JH, Li Y, Li B, Kane A, Patel H, Sun X, Wang C, Luong T, Xia J, Han Y, Byun J, Zhang T, Zhao W, Landi MT, Rothman N, Lan Q, Chang YS, Yu F, Amos CI, Shi J, Lee JG, Kim EY, Choi J",,Author Correction: Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.,Nat Commun,2024 Nov 18,2024 Nov 18,39557929,PMC11574310,"TDRP, TDRP/BB, TDRP/ITEB, TDRP/LTG, TDRP/OEEB"
"Nakano Y, Kuiper RP, Nichols KE, Porter CC, Lesmana H, Meade J, Kratz CP, Godley LA, Maese LD, Achatz MI, Khincha PP, Savage SA, Doria AS, Greer MC, Chang VY, Wang LL, Plon SE, Walsh MF",,Update on Recommendations for Cancer Screening and Surveillance in Children with Genomic Instability Disorders.,Clin Cancer Res,2024 Nov 15,,39264246,PMC11705613,"OD, TDRP/CGB"
"Windrich J, Ney GM, Rosenberg PS, Kim J, Zenker M, Stewart DR, Kratz CP",,Cancer in Multilineage Mosaic RASopathies due to Pathogenic Variants in HRAS or KRAS: A Systematic Review and Meta-analysis.,Clin Cancer Res,2024 Nov 15,,39287844,PMC11565173,"TDRP/BB, TDRP/CGB"
