row	Branches	BB	CGB	CGR	IIB	ITEB	LGS	LTG	MEB	OD	OEEB	REB	pmid_title
14	BB,CGB	true	true	false	false	false	false	false	false	false	false	false	pmid:39679826 Mortality Trends and Causes of Death in Myotonic Dystrophy Type 1 Patients From the UK Clinical Practice Research Datalink.;
15	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39680438 "Crying in the Wilderness"-The Use of Web-Based Support in Telomere Biology Disorders: Thematic Analysis.;
16	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39400264 DICER1-Related Tumor Predisposition: Identification of At-risk Individuals and Recommended Surveillance Strategies.;
17	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39694201 Persistent Lugol-unstained Lesions: A New Predictor of Progression to Esophageal Squamous Cell Carcinoma?;
18	OD,CGR	false	false	true	false	false	false	false	false	true	false	false	pmid:39665363 Machine Learning-based Prognostic Subgrouping of Glioblastoma: A Multi-center Study.;
19	OD,CGR,CGB,LTG	false	true	true	false	false	false	true	false	true	false	false	pmid:39672307 Analysis of the progression of cervical cancer in a low-and-middle-income country: From pre-malignancy to invasive disease.;
20	OD,CGB,IIB	false	true	false	true	false	false	false	false	true	false	false	pmid:39660744 Federal Cervical Cancer Collaborative: Improving cervical cancer prevention through vaccination, screening, and management in safety-net settings of care.;
21	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39663641 Etiology of prostate cancer with the TMPRSS2:ERG fusion: A systematic review of risk factors.;
22	BB,IIB	true	false	false	true	false	false	false	false	false	false	false	pmid:39658222 Natural history of HPV16-E6 serology among cancer-free men in a multicenter longitudinal cohort study.;
23	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39657329 Characterization of mammographic markers of inflammatory breast cancer (IBC).;
24	OD,CGB,IIB	false	true	false	true	false	false	false	false	true	false	false	pmid:39657945 The role of HPV16 in oral cavity and laryngeal cancers in the United States.;
25	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false	pmid:39645377 Burden of disease scenarios by state in the USA, 2022-50: a forecasting analysis for the Global Burden of Disease Study 2021.;
26	BB,CGB	true	true	false	false	false	false	false	false	false	false	false	pmid:39647654 Associations of obesity with post-treatment risks of cervical precancer and cancer.;
27	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39642333 Comparison of Survivorship Care Guidelines for Patients With Lymphoma: Recommendations for Harmonization and Future Research Agenda.;
28	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39636625 Estimation of Cancer Deaths Averted From Prevention, Screening, and Treatment Efforts, 1975-2020.;
29	OD,CGR,CGB	false	true	true	false	false	false	false	false	true	false	false	pmid:39316766 Clonal landscape and clinical outcomes of telomere biology disorders: somatic rescue and cancer mutations.;
30	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39636577 Management of individuals with heterozygous germline pathogenic variants in ATM: A clinical practice resource of the American College of Medical Genetics and Genomics (ACMG).;
31	ITEB	false	false	false	false	true	false	false	false	false	false	false	pmid:39627836 Subtype-specific analysis of gene co-expression networks and immune cell profiling reveals high grade serous ovarian cancer subtype linkage to variable immune microenvironment.;
32	OD,CGR,LGS,BB,ITEB,MEB,REB	true	false	true	false	true	true	false	true	true	false	true	pmid:39627447 Author Correction: Genetic drivers and cellular selection of female mosaic X chromosome loss.;
33	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39361354 Plasma Ghrelin and Risks of Sex-Specific, Site-Specific, and Early-Onset Colorectal Cancer: A Mendelian Randomization Analysis.;
34	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39661387 Genotype and Associated Cancer Risk in Individuals With Telomere Biology Disorders.;
35	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39622868 Associations between pesticide use and rheumatoid arthritis among older farmers in the Agricultural Health Study.;
36	OD,MEB	false	false	false	false	false	false	false	true	true	false	false	pmid:39618252 The Burden of Gastric Cancer in Northern Central America.;
37	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39269270 Racial, Ethnic, and Socioeconomic Disparities in Meeting Physical Activity Guidelines among Female Breast Cancer Survivors in the United States.;
38	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39724614 METHODOLOGY OF RECONSTRUCTION OF INTERNAL DOSES FROM 137Cs AND 134Cs OF RESIDENTS OF RADIOACTIVELY CONTAMINATED SETTLEMENTS IN UKRAINE NOT COVERED BY WBC MONITORING.;
39	OD,CGR,BB,CGB,MEB,OEEB	true	true	true	false	false	false	false	true	true	true	false	pmid:39733276 Evaluating the Use of Environmental and Polygenic Risk Scores to Inform Colorectal Cancer Risk-Based Surveillance Intervals.;
40	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39801635 Cardiovascular Disease and Breast Cancer: Exploring 2 Interconnected Landscapes.;
41	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39616267 Identification of biallelic POLA2 variants in two families with an autosomal recessive telomere biology disorder.;
42	OD,MEB	false	false	false	false	false	false	false	true	true	false	false	pmid:39673323 Body size and occupational physical activity during the life course and gastrointestinal cancers.;
43	OD,MEB	false	false	false	false	false	false	false	true	true	false	false	pmid:39609906 Which dietary patterns fend off nonalcoholic fatty liver disease? A systematic review of observational and interventional studies.;
44	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39602175 Cervical Cancer Mortality Among US Women Younger Than 25 Years, 1992-2021.;
45	OD,CGR,BB,IIB	true	false	true	true	false	false	false	false	true	false	false	pmid:39589824 A large-scale population-based study reveals that gp42-IgG antibody is protective against EBV-associated nasopharyngeal carcinoma.;
46	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39593118 Plasma prolactin and postmenopausal breast cancer risk: a pooled analysis of four prospective cohort studies.;
47	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39608610 Evaluating the Impact of Liver Vasculature Model Complexity for Estimating Dose to Circulating Blood During Radiation Therapy.;
48	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39585318 Childhood, adolescent and young adulthood cancer risk in BRCA1 or BRCA2 pathogenic variant carriers.;
49	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39580808 Global variations in gallbladder cancer incidence: What do recorded data and national estimates tell us?;
50	OD,CGR,LGS,BB,ITEB,LTG,MEB,OEEB	true	false	true	false	true	true	true	true	true	true	false	pmid:39581378 Polygenic Risk Score and Lung Adenocarcinoma Risk Among Never-Smokers by EGFR Mutation Status: A Brief Report.;
51	ITEB,MEB	false	false	false	false	true	false	false	true	false	false	false	pmid:39571835 Quit Attempts and Use of Cessation Aids Among U.S. Adults Who Smoke Nondaily.;
52	ITEB	false	false	false	false	true	false	false	false	false	false	false	pmid:39596909 Polygenic Risk Score Improves Melanoma Risk Assessment in a Patient Cohort from the Veneto Region of Italy.;
53	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39640936 Excess weight by degree and duration and cancer risk (ABACus2 consortium): a cohort study and individual participant data meta-analysis.;
54	BB,ITEB,LTG,OEEB	true	false	false	false	true	false	true	false	false	true	false	pmid:39557929 Author Correction: Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.;
55	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39264246 Update on Recommendations for Cancer Screening and Surveillance in Children with Genomic Instability Disorders.;
56	BB,CGB	true	true	false	false	false	false	false	false	false	false	false	pmid:39287844 Cancer in Multilineage Mosaic RASopathies due to Pathogenic Variants in HRAS or KRAS: A Systematic Review and Meta-analysis.;
57	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39543702 Body mass index and breast cancer risk in premenopausal and postmenopausal East Asian women: a pooled analysis of 13 cohort studies.;
58	OD,LGS,ITEB,OEEB	false	false	false	false	true	true	false	false	true	true	false	pmid:39528488 Genetically determined telomere length in monoclonal gammopathy of undetermined significance, multiple myeloma risk and outcome.;
59	OD,CGR,BB	true	false	true	false	false	false	false	false	true	false	false	pmid:39520911 Genomic insights for personalised care in lung cancer and smoking cessation: motivating at-risk individuals toward evidence-based health practices.;
60	OD,CGR,BB,ITEB,MEB,OEEB	true	false	true	false	true	false	false	true	true	true	false	pmid:39508149 Associations Between Mosaic Loss of Sex Chromosomes and Incident Hospitalization for Atrial Fibrillation in the United Kingdom.;
61	BB,CGB	true	true	false	false	false	false	false	false	false	false	false	pmid:39501104 Genome-first determination of the prevalence and penetrance of eight germline myeloid malignancy predisposition genes: a study of two population-based cohorts.;
62	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39503370 Validation and next-generation update of a DNA methylation-based recurrence predictor for meningioma: a multicenter prospective study.;
63	OD,LGS,BB,ITEB,MEB,OEEB,REB	true	false	false	false	true	true	false	true	true	true	true	pmid:39505858 A PSA SNP associates with cellular function and clinical outcome in men with prostate cancer.;
64	OD,CGR,LGS,CGB,IIB,ITEB,LTG	false	true	true	true	true	true	true	false	true	false	false	pmid:39802763 Genetic regulation of TERT splicing contributes to reduced or elevated cancer risk by altering cellular longevity and replicative potential.;
65	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39499157 The Diverse Aspects of Uterine Serous Cancer: An NCI workshop on the status of and opportunities for advancement of research.;
66	BB,ITEB,MEB	true	false	false	false	true	false	false	true	false	false	false	pmid:39499225 Total testosterone, sex hormone-binding globulin, and free testosterone concentrations and risk of primary liver cancer: A prospective analysis of 200,000 men and 180,000 postmenopausal women.;
67	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:40110060 Neighborhood disadvantage is associated with treatment access outcomes and survival among individuals with a primary brain tumor.;
68	OD,CGR,LGS,BB,ITEB	true	false	true	false	true	true	false	false	true	false	false	pmid:39492056 Genomes and epigenomes of matched normal and tumor breast tissue reveal diverse evolutionary trajectories and tumor-host interactions.;
69	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39512128 Novel Scoring System for Ranking Hematopoietic Stem Cell Transplantation.;
70	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39529525 A cervical cancer control strategy for lower-resource settings: interventions to complement one-dose HPV vaccination.;
71	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39536277 Usage of the National Cancer Institute Cancer Research Data Commons by Researchers: A Scoping Review of the Literature.;
72	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39529520 Single-dose human papillomavirus vaccination: an update.;
73	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39561210 The critical need for a robust research agenda on ultra-processed food consumption and cancer risk.;
74	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39196581 Update on Pediatric Cancer Surveillance Recommendations for Patients with Neurofibromatosis Type 1, Noonan Syndrome, CBL Syndrome, Costello Syndrome, and Related RASopathies.;
75	BB,CGB,IIB,MEB	true	true	false	true	false	false	false	true	false	false	false	pmid:39529529 HPV16/18 antibodies 16-years after single dose of bivalent HPV vaccination: Costa Rica HPV vaccine trial.;
76	BB,REB	true	false	false	false	false	false	false	false	false	false	true	pmid:39485483 Prediction of breast cancer risk for adolescents and young adults with Hodgkin lymphoma.;
77	CGB,IIB	false	true	false	true	false	false	false	false	false	false	false	pmid:39287419 Multiomics Profiling Distinguishes Sebaceous Carcinoma from Benign Sebaceous Neoplasms and Provides Insight into the Genetic Evolution of Sebaceous Carcinogenesis.;
78	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false	pmid:39541787 Quantitative measures of recent and lifetime agricultural pesticide use are associated with increased pesticide concentrations in house dust.;
79	OD,LGS,ITEB,MEB	false	false	false	false	true	true	false	true	true	false	false	pmid:39208031 Social, Behavioral, and Clinical Risk Factors Are Associated with Clonal Hematopoiesis.;
80	LTG	false	false	false	false	false	false	true	false	false	false	false	pmid:39486408 Genetics of Latin American Diversity Project: Insights into population genetics and association studies in admixed groups in the Americas.;
81	BB,IIB	true	false	false	true	false	false	false	false	false	false	false	pmid:39482824 Non-steroidal anti-inflammatory drug use and inflammatory markers associated with gallbladder dysplasia: A case-control analysis within a series of patients undergoing cholecystectomy.;
82	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39481608 Correlation of dynamic blood dose with clinical outcomes in radiotherapy for head-and-neck cancer.;
83	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39470725 Spatial pattern and differential expression analysis with spatial transcriptomic data.;
84	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39462986 Different phenotypes with different endings-Telomere biology disorders and cancer predisposition with long telomeres.;
85	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39461879 Ten challenges and opportunities in computational immuno-oncology.;
86	ITEB	false	false	false	false	true	false	false	false	false	false	false	pmid:39717428 Multiple Instance Learning for WSI: A comparative analysis of attention-based approaches.;
87	ITEB	false	false	false	false	true	false	false	false	false	false	false	pmid:39425518 Association of MC1R variants with melanoma risk and interaction with sun exposure: An M-SKIP project.;
88	CGB,MEB	false	true	false	false	false	false	false	true	false	false	false	pmid:39424895 Temporal trends, spatial and spatiotemporal clusters of cervical cancer mortality in Brazil from 2000 to 2021.;
89	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39691264 Genotype-phenotype associations in individuals with Diamond Blackfan anaemia.;
90	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39419307 Development of an accelerometer age- and sex-specific approach based on population-standardized values for physical activity surveillance: A proof of concept.;
91	OD,LGS,ITEB	false	false	false	false	true	true	false	false	true	false	false	pmid:39412492 Polygenic risk scores stratify breast cancer risk among women with benign breast disease.;
92	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39419165 Cardio-Oncology and Heart Failure: a Scientific Statement From the Heart Failure Society of America.;
93	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39414560 Cardio-Oncology and Heart Failure: AL Amyloidosis for the Heart Failure Clinician: a Supplement to the Scientific Statement from the Heart Failure Society of America.;
94	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39190470 Pediatric Cancer Screening in Hereditary Gastrointestinal Cancer Risk Syndromes: An Update from the AACR Childhood Cancer Predisposition Working Group.;
95	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39396092 Sex hormones and risk of lung and colorectal cancers in women: a Mendelian randomization study.;
96	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39392420 Grade-stratified meningioma risk among individuals who are non-Hispanic Black and interactions with male sex.;
97	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39390262 Methylation-based immune deconvolution in prostate cancer patients before and after radical prostatectomy.;
98	BB,ITEB,MEB	true	false	false	false	true	false	false	true	false	false	false	pmid:39382775 Adjuvant endocrine therapy and risk of contralateral breast cancer: a systematic review and meta-analysis of observational studies.;
99	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39383209 Design of randomized controlled trials to estimate cancer-mortality reductions from multicancer detection screening.;
100	BB,IIB	true	false	false	true	false	false	false	false	false	false	false	pmid:39389313 The burden of COVID-19 mortality among solid organ transplant recipients in the United States.;
101	BB,MEB	true	false	false	false	false	false	false	true	false	false	false	pmid:39383198 Physical activity, metabolites, and breast cancer associations.;
102	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39147576 Mortality follow-up of Fernald Feed Materials Production Center workers exposed to uranium from 1951 to 1985.;
103	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39389068 The growing global burden of thyroid cancer overdiagnosis.;
104	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39375883 Combining Biomarkers to Improve Diagnostic Accuracy in Detecting Diseases With Group-Tested Data.;
105	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39268878 Clinical characteristics, in-hospital management, and outcomes among patients hospitalized for acute ischemic stroke in rural versus urban hospitals in China: A nationwide hospital-based study.;
106	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39371035 CBTRUS Statistical Report: Primary Brain and Other Central Nervous System Tumors Diagnosed in the United States in 2017-2021.;
107	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39554689 A "rotating menu" of medical uncertainty for families affected by telomere biology disorders: A qualitative interview study.;
108	LTG,OEEB	false	false	false	false	false	false	true	false	false	true	false	pmid:39368404 Age at menarche by birth cohort: A pooled analysis of half a million women in Asia.;
109	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39365959 Evaluation and Surgical Management of Pediatric Cutaneous Melanoma and Atypical Spitz and Non-Spitz Melanocytic Tumors (Melanocytomas): A Report From Children's Oncology Group.;
110	OD,LGS,ITEB,MEB	false	false	false	false	true	true	false	true	true	false	false	pmid:39362752 Erratum: "Moving toward findable, accessible, interoperable, reusable practices in epidemiologic research".;
111	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39361428 Association between family history with lung cancer incidence and mortality risk in the Asia Cohort Consortium.;
112	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39361165 Prevalence and concordance of penile, anal, and oral human papillomavirus infections among sexually active heterosexual men in Ibadan, Nigeria.;
113	none	false	false	false	false	false	false	false	false	false	false	false	pmid:38695575 Meningioma: International Consortium on Meningiomas consensus review on scientific advances and treatment paradigms for clinicians, researchers, and patients.;
114	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39679739 A likelihood approach to incorporating self-report data in HIV recency classification.;
115	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39366196 IPVS STATEMENT on HPV vaccination: No longer supply constraints: Towards achieving WHO vaccine targets.;
116	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39358005 Need for standardised approaches to human microbiome research using the example of colorectal neoplasia research.;
117	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39354815 Liver Cancer: Progress and Priorities.;
118	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39356713 Assessing generalizability of an AI-based visual test for cervical cancer screening.;
119	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39388846 How well does a single blood sample represent long-term exposure for epidemiological studies of PFOA among men in the general population?;
120	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39149818 Risks of Circulatory Diseases among Korean Radiation Workers Exposed to Low-dose Radiation.;
121	BB,IIB	true	false	false	true	false	false	false	false	false	false	false	pmid:39353160 Impact of an Epstein-Barr Virus Serology-Based Screening Program on Nasopharyngeal Carcinoma Mortality: A Cluster-Randomized Controlled Trial.;
122	BB,IIB,MEB	true	false	false	true	false	false	false	true	false	false	false	pmid:39444260 Patterns and predictors of opioid dispensing among older cancer patients from 2008 to 2015.;
123	REB	false	false	false	false	false	false	false	false	false	false	true	pmid:39142649 Dose Reconstruction for Epidemiological Studies among Ukrainian Chernobyl Cleanup Workers.;
124	OD,CGR,BB	true	false	true	false	false	false	false	false	true	false	false	pmid:39441834 A comprehensive framework for trans-ancestry pathway analysis using GWAS summary data from diverse populations.;
125	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39362617 Global Progression Rates of Precursor Lesions for Gastric Cancer: A Systematic Review and Meta-Analysis.;
126	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39352804 Outdoor Air Pollution Exposure and Ovarian Cancer Incidence in a United States-Wide Prospective Cohort Study.;
127	OD,LGS,MEB,OEEB	false	false	false	false	false	true	false	true	true	true	false	pmid:39358599 Heterogeneous genetic architectures of prostate cancer susceptibility in sub-Saharan Africa.;
128	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39446421 Invited Perspective: Insights into Exposure to Industrial Solvents and Cancer Risk at Camp Lejeune.;
129	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39037923 Toxicity of waterpipe tobacco smoking: the role of flavors, sweeteners, humectants, and charcoal.;
130	BB,CGB	true	true	false	false	false	false	false	false	false	false	false	pmid:39267581 Increasing power in screening trials by testing control-arm specimens: application to multicancer detection screening.;
131	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39078402 Update on Recommendations for Surveillance for Children with Predisposition to Hematopoietic Malignancy.;
132	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39440943 Long-Term Exposure to Arsenic in Community Water Supplies and Risk of Cardiovascular Disease among Women in the California Teachers Study.;
133	BB,MEB,OEEB	true	false	false	false	false	false	false	true	false	true	false	pmid:39388845 Serum concentrations of per- and polyfluorinated substances and risk of B-cell non-Hodgkin lymphoma.;
134	IIB,REB	false	false	false	true	false	false	false	false	false	false	true	pmid:38867579 Changes in sex-specific incidence of lymphoid neoplasms across the lifespan.;
135	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39354183 Defining the complex needs of families with rare diseases-the example of telomere biology disorders.;
136	OD,BB,MEB	true	false	false	false	false	false	false	true	true	false	false	pmid:39133482 Plant and Animal Fat Intake and Overall and Cardiovascular Disease Mortality.;
137	OD,CGR,BB,CGB,MEB	true	true	true	false	false	false	false	true	true	false	false	pmid:39350044 Mutational signatures in 175 Chinese gastric cancer patients.;
138	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39343441 Sex disparities in gallstone disease: insights from the MAUCO prospective population-based cohort study.;
139	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39331584 Relating to the Body Under Chronic Cancer Threat: Implications for Psychosocial Health Among Adolescents and Young Adults with Cancer Predisposition Syndromes.;
140	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39325441 Oral Microbiome and Subsequent Risk of Head and Neck Squamous Cell Cancer.;
141	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39324414 Disparities in hepatitis C among people aged 12-59 with no history of injection drug use, United States, January 2013-March 2020.;
142	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:38776400 Racial, ethnic, and socioeconomic diversity and outcomes of patients with graft-versus-host disease: a CIBMTR analysis.;
143	OD,LGS,OEEB	false	false	false	false	false	true	false	false	true	true	false	pmid:39316822 Characterization of Additive Gene-environment Interactions For Colorectal Cancer Risk.;
144	BB,LTG	true	false	false	false	false	false	true	false	false	false	false	pmid:39371173 Large-scale multi-omic analysis identifies noncoding somatic driver mutations and nominates ZFP36L2 as a driver gene for pancreatic ductal adenocarcinoma.;
145	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:38181070 Association of Oral Microbiome With Oral Human Papillomavirus Infection: A Population Study of the National Health and Nutrition Examination Survey, 2009-2012.;
146	OD,BB,IIB,MEB	true	false	false	true	false	false	false	true	true	false	false	pmid:39316850 Cancer mortality and geographic inequalities: a detailed descriptive and spatial analysis of social determinants across US counties, 2018-2021.;
147	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39443230 Genetic predisposition to myelodysplastic syndrome: Genetic counseling and transplant implications.;
148	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39326242 Residential proximity to agricultural herbicide and fungicide applications and dust levels in homes of California children.;
149	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39302231 The American Cancer Society National Lung Cancer Roundtable strategic plan: Current challenges and future directions for shared decision making for lung cancer screening.;
150	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39300505 Effectiveness of long-term low-dose aspirin in the prevention of gastric cancer after Helicobacter pylori eradication: study design and rationale of Ardabil gastric cancer randomized placebo-controlled prevention trial (AGCPT).;
151	BB,MEB	true	false	false	false	false	false	false	true	false	false	false	pmid:39284767 Effects of Preanalytical Sample Collection and Handling on Comprehensive Metabolite Measurements in Human Urine Biospecimens.;
152	OD,LGS,LTG,MEB	false	false	false	false	false	true	true	true	true	false	false	pmid:39371158 Allelic effects on KLHL17 expression likely mediated by JunB/D underlie a PDAC GWAS signal at chr1p36.33.;
153	OD,CGB	false	true	false	false	false	false	false	false	true	false	false	pmid:39279436 Germline RTEL1 Variants in Telomere Biology Disorders.;
154	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39278504 Domestic radon exposure and childhood cancer risk by site and sex in 727 counties in the United States, 2001-2018.;
155	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39330033 Trace Element Concentrations of Arsenic and Selenium in Toenails and Risk of Prostate Cancer among Pesticide Applicators.;
156	BB,MEB	true	false	false	false	false	false	false	true	false	false	false	pmid:39339699 Serum Erythritol and Risk of Overall and Cause-Specific Mortality in a Cohort of Men.;
157	LTG	false	false	false	false	false	false	true	false	false	false	false	pmid:39314336 Predictive Prioritization of Enhancers Associated with Pancreas Disease Risk.;
158	ITEB	false	false	false	false	true	false	false	false	false	false	false	pmid:39270649 Germline polygenic risk scores are associated with immune gene expression signature and immune cell infiltration in breast cancer.;
159	BB,ITEB,LTG,OEEB	true	false	false	false	true	false	true	false	false	true	false	pmid:39266564 Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.;
160	OD,CGR,BB,CGB,LTG	true	true	true	false	false	false	true	false	true	false	false	pmid:39266536 Somatic mutations in 3929 HPV positive cervical cells associated with infection outcome and HPV type.;
161	ITEB,REB	false	false	false	false	true	false	false	false	false	false	true	pmid:39925712 Realistic extension of partial-body pediatric CT for whole-body organ dose estimation in radiotherapy patients.;
162	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39254781 County-level Racial/Ethnic Residential Segregation and Physical Activity Behavior among US Adults.;
163	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39256770 The associations of muscle-strengthening exercise with recurrence and mortality among breast cancer survivors: a systematic review.;
164	none	false	false	false	false	false	false	false	false	false	false	false	pmid:38684319 Sex-Specific Differences in Patients with IDH1-Wild-Type Grade 4 Glioma in the ReSPOND Consortium.;
165	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:38148138 Comparison of OLGA and OLGIM as predictors of gastric cancer in a Latin American population: the ECHOS Study.;
166	CGB	false	true	false	false	false	false	false	false	false	false	false	pmid:39252525 Feasibility of a prospective pediatric melanocytic tumor clinical trial: A report of multidisciplinary clinician survey data from the Children's Oncology Group Rare Tumor Committee.;
